grinning face,#1f600
lacrosse,#1f94d
ping pong,#1f3d3
badminton,#1f3f8
boxing glove,#1f94a
martial arts uniform,#1f94b
goal net,#1f945
flag in hole,#26f3
ice skate,#26f8
fishing pole,#1f3a3
diving mask,#1f93f
running shirt,#1f3bd
skis,#1f3bf
sled,#1f6f7
curling stone,#1f94c
direct hit,#1f3af
yo-yo,#1fa80
kite,#1fa81
pool 8 ball,#1f3b1
crystal ball,#1f52e
magic wand,#1fa84
nazar amulet,#1f9ff
video game,#1f3ae
joystick,#1f579
slot machine,#1f3b0
game die,#1f3b2
puzzle piece,#1f9e9
teddy bear,#1f9f8
piñata,#1fa85
nesting dolls,#1fa86
spade suit,#2660
heart suit,#2665
diamond suit,#2666
club suit,#2663
chess pawn,#265f
joker,#1f0cf
mahjong red dragon,#1f004
flower playing cards,#1f3b4
performing arts,#1f3ad
framed picture,#1f5bc
artist palette,#1f3a8
thread,#1f9f5
sewing needle,#1faa1
yarn,#1f9f6
knot,#1faa2
glasses,#1f453
sunglasses,#1f576
goggles,#1f97d
lab coat,#1f97c
safety vest,#1f9ba
necktie,#1f454
t-shirt,#1f455
jeans,#1f456
scarf,#1f9e3
gloves,#1f9e4
coat,#1f9e5
socks,#1f9e6
dress,#1f457
kimono,#1f458
sari,#1f97b
one-piece swimsuit,#1fa71
briefs,#1fa72
shorts,#1fa73
bikini,#1f459
woman’s clothes,#1f45a
purse,#1f45b
handbag,#1f45c
clutch bag,#1f45d
shopping bags,#1f6cd
backpack,#1f392
thong sandal,#1fa74
man’s shoe,#1f45e
running shoe,#1f45f
hiking boot,#1f97e
flat shoe,#1f97f
high-heeled shoe,#1f460
woman’s sandal,#1f461
ballet shoes,#1fa70
woman’s boot,#1f462
crown,#1f451
woman’s hat,#1f452
top hat,#1f3a9
graduation cap,#1f393
billed cap,#1f9e2
military helmet,#1fa96
rescue worker’s helmet,#26d1
prayer beads,#1f4ff
lipstick,#1f484
ring,#1f48d
gem stone,#1f48e
muted speaker,#1f507
speaker low volume,#1f508
speaker medium volume,#1f509
speaker high volume,#1f50a
loudspeaker,#1f4e2
megaphone,#1f4e3
postal horn,#1f4ef
bell,#1f514
bell with slash,#1f515
musical score,#1f3bc
musical note,#1f3b5
musical notes,#1f3b6
studio microphone,#1f399
level slider,#1f39a
control knobs,#1f39b
microphone,#1f3a4
headphone,#1f3a7
radio,#1f4fb
saxophone,#1f3b7
accordion,#1fa97
guitar,#1f3b8
musical keyboard,#1f3b9
trumpet,#1f3ba
violin,#1f3bb
banjo,#1fa95
drum,#1f941
long drum,#1fa98
mobile phone,#1f4f1
mobile phone with arrow,#1f4f2
telephone,#260e
telephone receiver,#1f4de
pager,#1f4df
fax machine,#1f4e0
battery,#1f50b
electric plug,#1f50c
laptop,#1f4bb
desktop computer,#1f5a5
printer,#1f5a8
keyboard,#2328
computer mouse,#1f5b1
trackball,#1f5b2
computer disk,#1f4bd
floppy disk,#1f4be
optical disk,#1f4bf
dvd,#1f4c0
abacus,#1f9ee
movie camera,#1f3a5
film frames,#1f39e
film projector,#1f4fd
clapper board,#1f3ac
television,#1f4fa
camera,#1f4f7
camera with flash,#1f4f8
video camera,#1f4f9
videocassette,#1f4fc
magnifying glass tilted left,#1f50d
magnifying glass tilted right,#1f50e
candle,#1f56f
light bulb,#1f4a1
flashlight,#1f526
red paper lantern,#1f3ee
diya lamp,#1fa94
notebook with decorative cover,#1f4d4
closed book,#1f4d5
open book,#1f4d6
green book,#1f4d7
blue book,#1f4d8
orange book,#1f4d9
books,#1f4da
notebook,#1f4d3
ledger,#1f4d2
page with curl,#1f4c3
scroll,#1f4dc
page facing up,#1f4c4
newspaper,#1f4f0
rolled-up newspaper,#1f5de
bookmark tabs,#1f4d1
bookmark,#1f516
label,#1f3f7
money bag,#1f4b0
coin,#1fa99
yen banknote,#1f4b4
dollar banknote,#1f4b5
euro banknote,#1f4b6
pound banknote,#1f4b7
money with wings,#1f4b8
credit card,#1f4b3
receipt,#1f9fe
chart increasing with yen,#1f4b9
envelope,#2709
e-mail,#1f4e7
incoming envelope,#1f4e8
envelope with arrow,#1f4e9
outbox tray,#1f4e4
inbox tray,#1f4e5
package,#1f4e6
closed mailbox with raised flag,#1f4eb
closed mailbox with lowered flag,#1f4ea
open mailbox with raised flag,#1f4ec
open mailbox with lowered flag,#1f4ed
postbox,#1f4ee
ballot box with ballot,#1f5f3
pencil,#270f
black nib,#2712
fountain pen,#1f58b
pen,#1f58a
paintbrush,#1f58c
crayon,#1f58d
memo,#1f4dd
briefcase,#1f4bc
file folder,#1f4c1
open file folder,#1f4c2
card index dividers,#1f5c2
calendar,#1f4c5
tear-off calendar,#1f4c6
spiral notepad,#1f5d2
spiral calendar,#1f5d3
card index,#1f4c7
chart increasing,#1f4c8
chart decreasing,#1f4c9
bar chart,#1f4ca
clipboard,#1f4cb
pushpin,#1f4cc
round pushpin,#1f4cd
paperclip,#1f4ce
linked paperclips,#1f587
straight ruler,#1f4cf
triangular ruler,#1f4d0
scissors,#2702
card file box,#1f5c3
file cabinet,#1f5c4
wastebasket,#1f5d1
locked,#1f512
unlocked,#1f513
locked with pen,#1f50f
locked with key,#1f510
key,#1f511
old key,#1f5dd
hammer,#1f528
axe,#1fa93
pick,#26cf
hammer and pick,#2692
hammer and wrench,#1f6e0
dagger,#1f5e1
crossed swords,#2694
pistol,#1f52b
boomerang,#1fa83
bow and arrow,#1f3f9
shield,#1f6e1
carpentry saw,#1fa9a
wrench,#1f527
screwdriver,#1fa9b
nut and bolt,#1f529
gear,#2699
clamp,#1f5dc
balance scale,#2696
white cane,#1f9af
link,#1f517
chains,#26d3
hook,#1fa9d
toolbox,#1f9f0
magnet,#1f9f2
ladder,#1fa9c
alembic,#2697
test tube,#1f9ea
petri dish,#1f9eb
dna,#1f9ec
microscope,#1f52c
telescope,#1f52d
satellite antenna,#1f4e1
syringe,#1f489
drop of blood,#1fa78
pill,#1f48a
adhesive bandage,#1fa79
stethoscope,#1fa7a
door,#1f6aa
elevator,#1f6d7
mirror,#1fa9e
window,#1fa9f
bed,#1f6cf
couch and lamp,#1f6cb
chair,#1fa91
toilet,#1f6bd
plunger,#1faa0
shower,#1f6bf
bathtub,#1f6c1
mouse trap,#1faa4
razor,#1fa92
lotion bottle,#1f9f4
safety pin,#1f9f7
broom,#1f9f9
basket,#1f9fa
roll of paper,#1f9fb
bucket,#1faa3
soap,#1f9fc
toothbrush,#1faa5
sponge,#1f9fd
fire extinguisher,#1f9ef
shopping cart,#1f6d2
cigarette,#1f6ac
coffin,#26b0
headstone,#1faa6
funeral urn,#26b1
moai,#1f5ff
placard,#1faa7
ATM sign,#1f3e7
litter in bin sign,#1f6ae
potable water,#1f6b0
wheelchair symbol,#267f
men’s room,#1f6b9
women’s room,#1f6ba
restroom,#1f6bb
baby symbol,#1f6bc
water closet,#1f6be
passport control,#1f6c2
customs,#1f6c3
baggage claim,#1f6c4
left luggage,#1f6c5
warning,#26a0
children crossing,#1f6b8
no entry,#26d4
prohibited,#1f6ab
no bicycles,#1f6b3
no smoking,#1f6ad
no littering,#1f6af
non-potable water,#1f6b1
no pedestrians,#1f6b7
no mobile phones,#1f4f5
no one under eighteen,#1f51e
radioactive,#2622
biohazard,#2623
up arrow,#2b06
up-right arrow,#2197
right arrow,#27a1
down-right arrow,#2198
down arrow,#2b07
down-left arrow,#2199
left arrow,#2b05
up-left arrow,#2196
up-down arrow,#2195
left-right arrow,#2194
right arrow curving left,#21a9
left arrow curving right,#21aa
right arrow curving up,#2934
right arrow curving down,#2935
clockwise vertical arrows,#1f503
counterclockwise arrows button,#1f504
BACK arrow,#1f519
END arrow,#1f51a
ON! arrow,#1f51b
SOON arrow,#1f51c
TOP arrow,#1f51d
place of worship,#1f6d0
atom symbol,#269b
om,#1f549
star of David,#2721
wheel of dharma,#2638
yin yang,#262f
latin cross,#271d
orthodox cross,#2626
star and crescent,#262a
peace symbol,#262e
menorah,#1f54e
dotted six-pointed star,#1f52f
Aries,#2648
Taurus,#2649
Gemini,#264a
Cancer,#264b
Leo,#264c
Virgo,#264d
Libra,#264e
Scorpio,#264f
Sagittarius,#2650
Capricorn,#2651
Aquarius,#2652
Pisces,#2653
Ophiuchus,#26ce
shuffle tracks button,#1f500
repeat button,#1f501
repeat single button,#1f502
play button,#25b6
fast-forward button,#23e9
next track button,#23ed
play or pause button,#23ef
reverse button,#25c0
fast reverse button,#23ea
last track button,#23ee
upwards button,#1f53c
fast up button,#23eb
downwards button,#1f53d
fast down button,#23ec
pause button,#23f8
stop button,#23f9
record button,#23fa
eject button,#23cf
cinema,#1f3a6
dim button,#1f505
bright button,#1f506
antenna bars,#1f4f6
vibration mode,#1f4f3
mobile phone off,#1f4f4
female sign,#2640
male sign,#2642
transgender symbol,#26a7
multiply,#2716
plus,#2795
minus,#2796
divide,#2797
infinity,#267e
double exclamation mark,#203c
exclamation question mark,#2049
question mark,#2753
white question mark,#2754
white exclamation mark,#2755
exclamation mark,#2757
wavy dash,#3030
currency exchange,#1f4b1
heavy dollar sign,#1f4b2
medical symbol,#2695
recycling symbol,#267b
fleur-de-lis,#269c
trident emblem,#1f531
name badge,#1f4db
Japanese symbol for beginner,#1f530
hollow red circle,#2b55
check mark button,#2705
check box with check,#2611
check mark,#2714
cross mark,#274c
cross mark button,#274e
curly loop,#27b0
double curly loop,#27bf
part alternation mark,#303d
eight-spoked asterisk,#2733
eight-pointed star,#2734
sparkle,#2747
copyright,#00a9
registered,#00ae
trade mark,#2122
keycap: #,#0023_fe0f_20e3
keycap: *,#002a_fe0f_20e3
keycap: 0,#0030_fe0f_20e3
keycap: 1,#0031_fe0f_20e3
keycap: 2,#0032_fe0f_20e3
keycap: 3,#0033_fe0f_20e3
keycap: 4,#0034_fe0f_20e3
keycap: 5,#0035_fe0f_20e3
keycap: 6,#0036_fe0f_20e3
keycap: 7,#0037_fe0f_20e3
keycap: 8,#0038_fe0f_20e3
keycap: 9,#0039_fe0f_20e3
keycap: 10,#1f51f
input latin uppercase,#1f520
input latin lowercase,#1f521
input numbers,#1f522
input symbols,#1f523
input latin letters,#1f524
A button (blood type),#1f170
AB button (blood type),#1f18e
B button (blood type),#1f171
CL button,#1f191
COOL button,#1f192
FREE button,#1f193
information,#2139
ID button,#1f194
circled M,#24c2
NEW button,#1f195
NG button,#1f196
O button (blood type),#1f17e
OK button,#1f197
P button,#1f17f
SOS button,#1f198
UP! button,#1f199
VS button,#1f19a
Japanese “here” button,#1f201
Japanese “service charge” button,#1f202
Japanese “monthly amount” button,#1f237
Japanese “not free of charge” button,#1f236
Japanese “reserved” button,#1f22f
Japanese “bargain” button,#1f250
Japanese “discount” button,#1f239
Japanese “free of charge” button,#1f21a
Japanese “prohibited” button,#1f232
Japanese “acceptable” button,#1f251
Japanese “application” button,#1f238
Japanese “passing grade” button,#1f234
Japanese “vacancy” button,#1f233
Japanese “congratulations” button,#3297
Japanese “secret” button,#3299
Japanese “open for business” button,#1f23a
Japanese “no vacancy” button,#1f235
red circle,#1f534
orange circle,#1f7e0
yellow circle,#1f7e1
green circle,#1f7e2
blue circle,#1f535
purple circle,#1f7e3
brown circle,#1f7e4
black circle,#26ab
white circle,#26aa
red square,#1f7e5
orange square,#1f7e7
yellow square,#1f7e8
green square,#1f7e9
blue square,#1f7e6
purple square,#1f7ea
brown square,#1f7eb
black large square,#2b1b
white large square,#2b1c
black medium square,#25fc
white medium square,#25fb
black medium-small square,#25fe
white medium-small square,#25fd
black small square,#25aa
white small square,#25ab
large orange diamond,#1f536
large blue diamond,#1f537
small orange diamond,#1f538
small blue diamond,#1f539
red triangle pointed up,#1f53a
red triangle pointed down,#1f53b
diamond with a dot,#1f4a0
radio button,#1f518
white square button,#1f533
black square button,#1f532
chequered flag,#1f3c1
triangular flag,#1f6a9
crossed flags,#1f38c
black flag,#1f3f4
white flag,#1f3f3
rainbow flag,#1f3f3_fe0f_200d_1f308
transgender flag,#1f3f3_fe0f_200d_26a7_fe0f
pirate flag,#1f3f4_200d_2620_fe0f
flag: Ascension Island,#1f1e6_1f1e8
flag: Andorra,#1f1e6_1f1e9
flag: United Arab Emirates,#1f1e6_1f1ea
flag: Afghanistan,#1f1e6_1f1eb
flag: Antigua &amp; Barbuda,#1f1e6_1f1ec
flag: Anguilla,#1f1e6_1f1ee
flag: Albania,#1f1e6_1f1f1
flag: Armenia,#1f1e6_1f1f2
flag: Angola,#1f1e6_1f1f4
flag: Antarctica,#1f1e6_1f1f6
flag: Argentina,#1f1e6_1f1f7
flag: American Samoa,#1f1e6_1f1f8
flag: Austria,#1f1e6_1f1f9
flag: Australia,#1f1e6_1f1fa
flag: Aruba,#1f1e6_1f1fc
flag: Åland Islands,#1f1e6_1f1fd
flag: Azerbaijan,#1f1e6_1f1ff
flag: Bosnia &amp; Herzegovina,#1f1e7_1f1e6
flag: Barbados,#1f1e7_1f1e7
flag: Bangladesh,#1f1e7_1f1e9
flag: Belgium,#1f1e7_1f1ea
flag: Burkina Faso,#1f1e7_1f1eb
flag: Bulgaria,#1f1e7_1f1ec
flag: Bahrain,#1f1e7_1f1ed
flag: Burundi,#1f1e7_1f1ee
flag: Benin,#1f1e7_1f1ef
flag: St. Barthélemy,#1f1e7_1f1f1
flag: Bermuda,#1f1e7_1f1f2
flag: Brunei,#1f1e7_1f1f3
flag: Bolivia,#1f1e7_1f1f4
flag: Caribbean Netherlands,#1f1e7_1f1f6
flag: Brazil,#1f1e7_1f1f7
flag: Bahamas,#1f1e7_1f1f8
flag: Bhutan,#1f1e7_1f1f9
flag: Bouvet Island,#1f1e7_1f1fb
flag: Botswana,#1f1e7_1f1fc
flag: Belarus,#1f1e7_1f1fe
flag: Belize,#1f1e7_1f1ff
flag: Canada,#1f1e8_1f1e6
flag: Cocos (Keeling) Islands,#1f1e8_1f1e8
flag: Congo - Kinshasa,#1f1e8_1f1e9
flag: Central African Republic,#1f1e8_1f1eb
flag: Congo - Brazzaville,#1f1e8_1f1ec
flag: Switzerland,#1f1e8_1f1ed
flag: Côte d’Ivoire,#1f1e8_1f1ee
flag: Cook Islands,#1f1e8_1f1f0
flag: Chile,#1f1e8_1f1f1
flag: Cameroon,#1f1e8_1f1f2
flag: China,#1f1e8_1f1f3
flag: Colombia,#1f1e8_1f1f4
flag: Clipperton Island,#1f1e8_1f1f5
flag: Costa Rica,#1f1e8_1f1f7
flag: Cuba,#1f1e8_1f1fa
flag: Cape Verde,#1f1e8_1f1fb
flag: Curaçao,#1f1e8_1f1fc
flag: Christmas Island,#1f1e8_1f1fd
flag: Cyprus,#1f1e8_1f1fe
flag: Czechia,#1f1e8_1f1ff
flag: Germany,#1f1e9_1f1ea
flag: Diego Garcia,#1f1e9_1f1ec
flag: Djibouti,#1f1e9_1f1ef
flag: Denmark,#1f1e9_1f1f0
flag: Dominica,#1f1e9_1f1f2
flag: Dominican Republic,#1f1e9_1f1f4
flag: Algeria,#1f1e9_1f1ff
flag: Ceuta &amp; Melilla,#1f1ea_1f1e6
flag: Ecuador,#1f1ea_1f1e8
flag: Estonia,#1f1ea_1f1ea
flag: Egypt,#1f1ea_1f1ec
flag: Western Sahara,#1f1ea_1f1ed
flag: Eritrea,#1f1ea_1f1f7
flag: Spain,#1f1ea_1f1f8
flag: Ethiopia,#1f1ea_1f1f9
flag: European Union,#1f1ea_1f1fa
flag: Finland,#1f1eb_1f1ee
flag: Fiji,#1f1eb_1f1ef
flag: Falkland Islands,#1f1eb_1f1f0
flag: Micronesia,#1f1eb_1f1f2
flag: Faroe Islands,#1f1eb_1f1f4
flag: France,#1f1eb_1f1f7
flag: Gabon,#1f1ec_1f1e6
flag: United Kingdom,#1f1ec_1f1e7
flag: Grenada,#1f1ec_1f1e9
flag: Georgia,#1f1ec_1f1ea
flag: French Guiana,#1f1ec_1f1eb
flag: Guernsey,#1f1ec_1f1ec
flag: Ghana,#1f1ec_1f1ed
flag: Gibraltar,#1f1ec_1f1ee
flag: Greenland,#1f1ec_1f1f1
flag: Gambia,#1f1ec_1f1f2
flag: Guinea,#1f1ec_1f1f3
flag: Guadeloupe,#1f1ec_1f1f5
flag: Equatorial Guinea,#1f1ec_1f1f6
flag: Greece,#1f1ec_1f1f7
flag: South Georgia &amp; South Sandwich Islands,#1f1ec_1f1f8
flag: Guatemala,#1f1ec_1f1f9
flag: Guam,#1f1ec_1f1fa
flag: Guinea-Bissau,#1f1ec_1f1fc
flag: Guyana,#1f1ec_1f1fe
flag: Hong Kong SAR China,#1f1ed_1f1f0
flag: Heard &amp; McDonald Islands,#1f1ed_1f1f2
flag: Honduras,#1f1ed_1f1f3
flag: Croatia,#1f1ed_1f1f7
flag: Haiti,#1f1ed_1f1f9
flag: Hungary,#1f1ed_1f1fa
flag: Canary Islands,#1f1ee_1f1e8
flag: Indonesia,#1f1ee_1f1e9
flag: Ireland,#1f1ee_1f1ea
flag: Israel,#1f1ee_1f1f1
flag: Isle of Man,#1f1ee_1f1f2
flag: India,#1f1ee_1f1f3
flag: British Indian Ocean Territory,#1f1ee_1f1f4
flag: Iraq,#1f1ee_1f1f6
flag: Iran,#1f1ee_1f1f7
flag: Iceland,#1f1ee_1f1f8
flag: Italy,#1f1ee_1f1f9
flag: Jersey,#1f1ef_1f1ea
flag: Jamaica,#1f1ef_1f1f2
flag: Jordan,#1f1ef_1f1f4
flag: Japan,#1f1ef_1f1f5
flag: Kenya,#1f1f0_1f1ea
flag: Kyrgyzstan,#1f1f0_1f1ec
flag: Cambodia,#1f1f0_1f1ed
flag: Kiribati,#1f1f0_1f1ee
flag: Comoros,#1f1f0_1f1f2
flag: St. Kitts &amp; Nevis,#1f1f0_1f1f3
flag: North Korea,#1f1f0_1f1f5
flag: South Korea,#1f1f0_1f1f7
flag: Kuwait,#1f1f0_1f1fc
flag: Cayman Islands,#1f1f0_1f1fe
flag: Kazakhstan,#1f1f0_1f1ff
flag: Laos,#1f1f1_1f1e6
flag: Lebanon,#1f1f1_1f1e7
flag: St. Lucia,#1f1f1_1f1e8
flag: Liechtenstein,#1f1f1_1f1ee
flag: Sri Lanka,#1f1f1_1f1f0
flag: Liberia,#1f1f1_1f1f7
flag: Lesotho,#1f1f1_1f1f8
flag: Lithuania,#1f1f1_1f1f9
flag: Luxembourg,#1f1f1_1f1fa
flag: Latvia,#1f1f1_1f1fb
flag: Libya,#1f1f1_1f1fe
flag: Morocco,#1f1f2_1f1e6
flag: Monaco,#1f1f2_1f1e8
flag: Moldova,#1f1f2_1f1e9
flag: Montenegro,#1f1f2_1f1ea
flag: St. Martin,#1f1f2_1f1eb
flag: Madagascar,#1f1f2_1f1ec
flag: Marshall Islands,#1f1f2_1f1ed
flag: North Macedonia,#1f1f2_1f1f0
flag: Mali,#1f1f2_1f1f1
flag: Myanmar (Burma),#1f1f2_1f1f2
flag: Mongolia,#1f1f2_1f1f3
flag: Macao SAR China,#1f1f2_1f1f4
flag: Northern Mariana Islands,#1f1f2_1f1f5
flag: Martinique,#1f1f2_1f1f6
flag: Mauritania,#1f1f2_1f1f7
flag: Montserrat,#1f1f2_1f1f8
flag: Malta,#1f1f2_1f1f9
flag: Mauritius,#1f1f2_1f1fa
flag: Maldives,#1f1f2_1f1fb
flag: Malawi,#1f1f2_1f1fc
flag: Mexico,#1f1f2_1f1fd
flag: Malaysia,#1f1f2_1f1fe
flag: Mozambique,#1f1f2_1f1ff
flag: Namibia,#1f1f3_1f1e6
flag: New Caledonia,#1f1f3_1f1e8
flag: Niger,#1f1f3_1f1ea
flag: Norfolk Island,#1f1f3_1f1eb
flag: Nigeria,#1f1f3_1f1ec
flag: Nicaragua,#1f1f3_1f1ee
flag: Netherlands,#1f1f3_1f1f1
flag: Norway,#1f1f3_1f1f4
flag: Nepal,#1f1f3_1f1f5
flag: Nauru,#1f1f3_1f1f7
flag: Niue,#1f1f3_1f1fa
flag: New Zealand,#1f1f3_1f1ff
flag: Oman,#1f1f4_1f1f2
flag: Panama,#1f1f5_1f1e6
flag: Peru,#1f1f5_1f1ea
flag: French Polynesia,#1f1f5_1f1eb
flag: Papua New Guinea,#1f1f5_1f1ec
flag: Philippines,#1f1f5_1f1ed
flag: Pakistan,#1f1f5_1f1f0
flag: Poland,#1f1f5_1f1f1
flag: St. Pierre &amp; Miquelon,#1f1f5_1f1f2
flag: Pitcairn Islands,#1f1f5_1f1f3
flag: Puerto Rico,#1f1f5_1f1f7
flag: Palestinian Territories,#1f1f5_1f1f8
flag: Portugal,#1f1f5_1f1f9
flag: Palau,#1f1f5_1f1fc
flag: Paraguay,#1f1f5_1f1fe
flag: Qatar,#1f1f6_1f1e6
flag: Réunion,#1f1f7_1f1ea
flag: Romania,#1f1f7_1f1f4
flag: Serbia,#1f1f7_1f1f8
flag: Russia,#1f1f7_1f1fa
flag: Rwanda,#1f1f7_1f1fc
flag: Saudi Arabia,#1f1f8_1f1e6
flag: Solomon Islands,#1f1f8_1f1e7
flag: Seychelles,#1f1f8_1f1e8
flag: Sudan,#1f1f8_1f1e9
flag: Sweden,#1f1f8_1f1ea
flag: Singapore,#1f1f8_1f1ec
flag: St. Helena,#1f1f8_1f1ed
flag: Slovenia,#1f1f8_1f1ee
flag: Svalbard &amp; Jan Mayen,#1f1f8_1f1ef
flag: Slovakia,#1f1f8_1f1f0
flag: Sierra Leone,#1f1f8_1f1f1
flag: San Marino,#1f1f8_1f1f2
flag: Senegal,#1f1f8_1f1f3
flag: Somalia,#1f1f8_1f1f4
flag: Suriname,#1f1f8_1f1f7
flag: South Sudan,#1f1f8_1f1f8
flag: São Tomé &amp; Príncipe,#1f1f8_1f1f9
flag: El Salvador,#1f1f8_1f1fb
flag: Sint Maarten,#1f1f8_1f1fd
flag: Syria,#1f1f8_1f1fe
flag: Eswatini,#1f1f8_1f1ff
flag: Tristan da Cunha,#1f1f9_1f1e6
flag: Turks &amp; Caicos Islands,#1f1f9_1f1e8
flag: Chad,#1f1f9_1f1e9
flag: French Southern Territories,#1f1f9_1f1eb
flag: Togo,#1f1f9_1f1ec
flag: Thailand,#1f1f9_1f1ed
flag: Tajikistan,#1f1f9_1f1ef
flag: Tokelau,#1f1f9_1f1f0
flag: Timor-Leste,#1f1f9_1f1f1
flag: Turkmenistan,#1f1f9_1f1f2
flag: Tunisia,#1f1f9_1f1f3
flag: Tonga,#1f1f9_1f1f4
flag: Turkey,#1f1f9_1f1f7
flag: Trinidad &amp; Tobago,#1f1f9_1f1f9
flag: Tuvalu,#1f1f9_1f1fb
flag: Taiwan,#1f1f9_1f1fc
flag: Tanzania,#1f1f9_1f1ff
flag: Ukraine,#1f1fa_1f1e6
flag: Uganda,#1f1fa_1f1ec
flag: U.S. Outlying Islands,#1f1fa_1f1f2
flag: United Nations,#1f1fa_1f1f3
flag: United States,#1f1fa_1f1f8
flag: Uruguay,#1f1fa_1f1fe
flag: Uzbekistan,#1f1fa_1f1ff
flag: Vatican City,#1f1fb_1f1e6
flag: St. Vincent &amp; Grenadines,#1f1fb_1f1e8
flag: Venezuela,#1f1fb_1f1ea
flag: British Virgin Islands,#1f1fb_1f1ec
flag: U.S. Virgin Islands,#1f1fb_1f1ee
flag: Vietnam,#1f1fb_1f1f3
flag: Vanuatu,#1f1fb_1f1fa
flag: Wallis &amp; Futuna,#1f1fc_1f1eb
flag: Samoa,#1f1fc_1f1f8
flag: Kosovo,#1f1fd_1f1f0
flag: Yemen,#1f1fe_1f1ea
flag: Mayotte,#1f1fe_1f1f9
flag: South Africa,#1f1ff_1f1e6
flag: Zambia,#1f1ff_1f1f2
flag: Zimbabwe,#1f1ff_1f1fc
flag: England,#1f3f4_e0067_e0062_e0065_e006e_e0067_e007f
flag: Scotland,#1f3f4_e0067_e0062_e0073_e0063_e0074_e007f
flag: Wales,#1f3f4_e0067_e0062_e0077_e006c_e0073_e007f
